18,2,Engine,Oil AEROSHELL,2U903, EUR15, 1 L,
18,3,Engine,Fuel pump FACET,2U904, EUR145, 1 pcs,
18,4,Engine,Fuel valve (one tank),2U905, EUR19, 1 pcs, aircraft with fuselage tank
18,5,Engine,Fuel selector valve (two tanks),K503V000, EUR68, 1 pcs, Faeta with wing tanks (from 2011)
18,6,Engine,Fuel gauge (floater sensor),2U1001, EUR123, 1 pcs, specify the version of your fuel tank
19,1,Engine,Fuel gauge gasket,2U1005, EUR2, 1 pcs,
19,2,Engine,Fuel indicator,2U1002, EUR62, 1 pcs,
19,3,Engine,Fuel filter,2U1003, EUR8, 1 pcs, for Rotax 912
19,4,Engine,Fuel filters (iS),2U1004, EUR25, 1 set (2 pcs.), for Rotax 912 iS version
19,5,Engine,Fuel hose quick coupling (female),2U15008, EUR19, 1 pcs, specify if ø 6 or 8 mm
19,6,Engine,Fuel hose quick coupling (male),2U15009, EUR10, 1 pcs, incl. viton o-ring; specify if ø 6 or 8 mm
20,1,Engine,Exhaust system R 912 80HP,2U100480, EUR955, 1 set, muffler + four pipes, welded
20,2,Engine,Exhaust system R 912 100HP,2U1004100, EUR987, 1 set, muffler + four pipes, welded
20,3,Engine,Exhaust system suspension springs,2U10040, EUR26, 1 set (8 pcs),
20,4,Engine,EGT sensor,2U1006, EUR177, 1 pcs,
20,5,Engine,Water/Oil temperature sensor,2U1007, EUR115, 1 pcs,
20,6,Engine,Spark plug R 912 (80HP),2U110180, EUR12, 1 pcs,
21,1,Engine,Spark plug R 912 (100HP),2U1102100, EUR12, 1 pcs,
21,2,Engine,ROTAX rectifier - regulator,4U4514, EUR118, 1 pcs,
21,3,Engine,VAPE rectifier - regulator,4U4515, EUR63, 1 pcs,
21,4,Engine,FITI 2-blades ground adjustable,2UP2GA, EUR1039, 1 pcs, for R 912 , 80HP also 100HP
21,5,Engine,FITI 3-blades ground adjustable,2UP3GA, EUR1399, 1 pcs, for R 912 , 80HP also 100HP
21,6,Engine,FITI 3-blades flight adjustable-E,2UP3IFAE, EUR4826, 1 pcs, with electrical control
22,1,Engine,FITI propeller spinner,2U1206, EUR179, 1 pcs, the same price for 2- or 3-blades option
22,2,Engine,Propeller pad,400277, EUR71, 1 pcs,
22,3,Engine,Fiti propeller pitch control,400278, EUR407, 1 pcs, electric adjustment of prop. pitch
22,4,Engine,,, EUR, 1 pcs,
23,1,Airframe,Engine cowling FAETA - lower,3U1301, EUR417, 1 pcs, carbon in standard
23,2,Airframe,Engine cowling FAETA - upper,3U1302, EUR312, 1 pcs, carbon in standard, Rotax 912
23,3,Airframe,Engine cowling FAETA - upper,3U1307, EUR325, 1 pcs, carbon in standard, Rotax 912 iS version
23,4,Airframe,Engine cowling ZEPHYR - lower,3U1304, EUR250417fiberglasscarbon, 1 pcs, fiberglass or carbon option
23,5,Airframe,Engine cowling ZEPHYR - upper,3U1305, EUR188312fiberglasscarbon, 1 pcs, fiberglass or carbon option
23,6,Airframe,Pitot tube assembly,3U1306, EUR89, 1 pcs, composite + dural part together
24,1,Airframe,HT fitting covers,3U1400, EUR42, 1 set (2 pieces), including double-sided tape
24,2,Airframe,Wing pins covering caps,3U1401, EUR22, 1 set (2+2 pcs),
24,3,Airframe,Vortex generators,3U1402, EUR22, 1 set (4 + 1 piece), including double-sided tape
24,4,Airframe,Instrument panels FAETA,3U1403, EUR83177duralcarbon, 1 set (L+R part), symmetric (from 2011), dural or carbon option
24,5,Airframe,Instrument panels ZEPHYR,3U1404, EUR83177duralcarbon, 1 set (L+R part), asymmetric, dural or carbon option
24,6,Airframe,Canopy colourless,3U1405, EUR2173, 1 pcs, with sliding windows, complete set
25,1,Airframe,Canopy tinted,3U1406, EUR2345, 1 pcs, with sliding windows, complete set;specify if green or brown option
25,2,Airframe,Sliding windows (set),3U1407, EUR300, 1 set (2pcs.), includes windows+sliding rails+screws
25,3,Airframe,Canopy rear hinge,3U1408, EUR112, 1 pcs,
25,4,Airframe,Canopy pushrods,3U1409, EUR70, 1 set (2 pushrods L+R),
25,5,Airframe,Footstep,3U1504, EUR40, 1 pcs,
25,6,Airframe,,, EUR, 1 pcs,
26,1,Plane accessories,Heating muffler,4U1601, EUR236, 1 pcs, closer description needed, two differenttypes (diameters) of mufflers being installed
26,2,Plane accessories,Heating deflector,4U1602, EUR120, 1 pcs,
26,3,Plane accessories,Heating (mixture valve),4U1603, EUR77, 1 pcs,
26,4,Plane accessories,Heating hose,4U1604, EUR22, 1 pcs,
26,5,Plane accessories,Heating actuator,4U1605, EUR63, 1 pcs,  wire rope included
26,6,Plane accessories,Air inlet,4U1606, EUR37, 1 pcs,
27,1,Plane accessories,Flaps control lever - assembly,290009, EUR351, 1 pcs,
27,2,Plane accessories,Control stick - assembly,390028, EUR417, 1 pcs,
27,3,Plane accessories,Throttle lever - assembly,490043, EUR146, 1 pcs, in new option with choke lever
27,4,Plane accessories,Pedal L,390029L, EUR140, 1 pcs,
27,5,Plane accessories,Pedal R,390029R, EUR140, 1 pcs,
27,6,Plane accessories,Pedal L adjustable,390044L, EUR199, 1 pcs,
28,1,Plane accessories,Pedal R adjustable,390044R, EUR199, 1 pcs,
28,2,Plane accessories,Nose leg pushrods,490050, EUR78, 1 set (2 pcs L+R), half-finished, necessary to adjust exactly
28,3,Plane accessories,Aileron pushrods,490069, EUR78, 1 set (2 pcs L+R),
28,4,Plane accessories,Flaps pushrods,490072, EUR87, 1 set (2 pcs L+R), refer exact length
28,5,Plane accessories,Threaded ball links for pushrods,490070, EUR21, 1 pcs, M8 thread with 5mm or 6mm eyelet diameterspecify requested diameter
28,6,Plane accessories,Wing pins,400281, EUR84, 1 set (2+2 pieces), upper without thread, lower with thread
29,1,Plane accessories,Wing bolt,4U1802, EUR8, 1 pcs,
29,2,Plane accessories,Seats,4U1810, EUR708, 2 pcs, optional colours
29,3,Plane accessories,Carbon seat for Faeta,4U1811, EUR419, 1 pcs, adjustable front/rearward
29,4,Plane accessories,Cushion to carbon seat,4U1812, EUR76, 1 pcs, optional thickness and colours
29,5,Plane accessories,Safety belts standard,4U1803, EUR141, 1 pcs, 50mm wide, with car release
29,6,Plane accessories,Safety belts comfort,4U1804, EUR309, 1 pcs, 75mm wide, with 4-point central release
30,1,Plane accessories,Side net pocket,4U1906, EUR31, 1 set, contains 1 net + 2 holders
30,2,Plane accessories,Battery super B 5200 (5 Ah),4U1807, EUR351, 1 pcs, 12V, weight 700 g
30,3,Plane accessories,Battery charger (5 Ah),4U1807-1, EUR126, 1 pcs, 5 Ah / 14.4V, EU plug
30,4,Plane accessories,Battery (14 Ah),4U1805, EUR147, 1 pcs, 12V, weight 5 kg
30,5,Plane accessories,Battery (18 Ah),4U1806, EUR176, 1 pcs, 12V, weight 6,5 kg
30,6,Plane accessories,Battery (Cyclon 6 cell - 5 Ah),4U1809, EUR208, 1 pcs, weight 2,2 kg
31,1,Plane accessories,Battery (9 Ah),4U1808, EUR124, 1 pcs, weight 2,2 kg
31,2,Plane accessories,Camlock - fast screw (engine cowl.),4U1902, EUR10, 1 set, set includes one screw, one fixing spacer,one nut, two rivets
31,3,Plane accessories,Standard screw (engine cowl.),4U1903, EUR4, 1 set, set includes one screw, one nut, tworivets
31,4,Plane accessories,Demisting fan,4U2012, EUR6, 1 pcs,
31,5,Plane accessories,Curtis drain valve,4U3313, EUR27, 1 pcs,
31,6,Plane accessories,Adapter to Curtis drain valve,K505A002, EUR12, 1pcs,
32,1,Plane accessories,Curtis drain valve with adapter,K505A002/1, EUR38, 1 set,
