1,7,1,Undercarriage,Nose leg,390022, EUR502, 1 pcs duraluminium tubeupper diameter 42mm
2,7,2,Undercarriage,Lower bearing,290007, EUR234, 1 pcs
3,7,3,Undercarriage,Upper bearing,490044, EUR122, 1 pcs
4,7,4,Undercarriage,Support rings,400332, EUR13, set of 2 rings
5,7,5,Undercarriage,Rubber springs,400310, EUR13, set of 2 rubber pieces
6,7,6,Undercarriage,Adjusting ring,400293, EUR21, 1 pcs
7,8,1,Undercarriage,Steering lever,300057, EUR67, 1 pcs
8,8,2,Undercarriage,Nose wheel axle,1U302, EUR9, 1 pcs
9,8,3,Undercarriage,Nose wheel "brake",1U303, EUR8, 1 pcs
10,8,4,Undercarriage,Nose wheel rim 4',K114A000, EUR107, 1 pcs
11,8,5,Undercarriage,Nose wheel tube 4',K04D001, EUR12, 1 pcsL-valve
12,8,6,Undercarriage,Nose wheel tire 4',K04P001, EUR40, 1 pcs
13,9,1,Undercarriage,Nose wheel 4',K04K001, EUR160, 1 pcs
14,9,2,Undercarriage,Main wheel 6' (Faeta),K206A000, EUR857, 1 pcs complete assembly incl. brake
15,9,3,Undercarriage,Main wheel rim 6',K206A100, EUR205, 1 pcs
16,9,4,Undercarriage,Main wheel ECO 6' (Faeta),K216A000, EUR393, 1 pcs complete assembly incl. brake
17,9,5,Undercarriage,Main wheel ECO POWER 6' (Faeta),K226A000, EUR504, 1 pcs complete assembly incl. brake
18,9,6,Undercarriage,Main wheel rim ECO 6',K216A100, EUR134, 1 pcs same as for "ECO POWER"
19,10,1,Undercarriage,Main wheel tube 6',K06D003, EUR13, 1 pcs
20,10,2,Undercarriage,Main wheel tire 6',K06P000, EUR35, 1 pcs
21,10,3,Undercarriage,Main wheel 8' (Zephyr),K218A000, EUR803, 1 pcs complete assembly incl. brake
22,10,4,Undercarriage,Main wheel rim 8',K218A100, EUR363, 1 pcs
23,10,5,Undercarriage,Main wheel tube 8',K08D000, EUR23, 1 pcs
24,10,6,Undercarriage,Main wheel tire 8',K08P000, EUR40, 1 pcs
25,11,1,Undercarriage,Brake disc 5',K305B023, EUR170, set for 1 wheel older option until December 2007
26,11,2,Undercarriage,Brake disc 6' (Faeta),K306A001, EUR71, 1 pcs
27,11,3,Undercarriage,Brake pads 6¡ä (Faeta),K306A134, EUR170, set for 1 wheel new option from January 2008
28,11,4,Undercarriage,Brake calliper 6',K306A000, EUR507, 1 pcs different for L or R side
29,11,5,Undercarriage,Brake disc ECO 6',K326A002, EUR46, 1 pcs same for "ECO POWER"
30,12,1,Undercarriage,Brake disc screws ECO 6¡ä,K216A003, EUR3, 1 set (3 pieces)
31,12,2,Undercarriage,Brake pads ECO 6¡ä,K326A034, EUR55, set for one wheel
32,12,3,Undercarriage,Brake calliper ECO 6¡ä,K326A000, EUR162, different for L or R side
33,12,4,Undercarriage,Brake pads ECO POWER 6¡ä,K365A113, EUR79, set for one wheel
34,12,5,Undercarriage,Brake calliper ECO POWER 6¡ä,K336A000, EUR294, set for one wheel different for L or R side
35,12,6,Undercarriage,Brake disc 8¡ä (Zephyr),K218A004, EUR60, 1 pcs
36,13,1,Undercarriage,Brake pads 8¡ä (Zephyr),K323C001, EUR46, set for one wheel
37,13,2,Undercarriage,Brake disc screws 8¡ä (Zephyr),K218A002, EUR8, 1 pc necessary 3+3 for one wheel displayedboth kinds (straight / stepped) specify the kindof requested screw when ordering
38,13,3,Undercarriage,Brake pads screw 8¡ä,1U8101, EUR10, 1 set/2pcs
39,13,4,Undercarriage,Brake pads screw 8¡ä,1U8102, EUR20, 1 set
40,13,5,Undercarriage,Brake calliper 8' (Zephyr),K318A000, EUR246, 1 pcs different for L or R side
41,13,6,Undercarriage,Brake lever cylinder 16mm,K416A000, EUR242, 1 pcs for Faeta and Zephyr
42,14,1,Undercarriage,Brake lever cylinder 19mm,K419A000, EUR243, 1 pcs for Zephyr
43,14,2,Undercarriage,Castle "spindle" nut,1U92615, EUR2, 1 pcs M26 x 15
